VOLL,Demand_Segment,Cost_of_Demand_Curtailment_per_MMBTU,Max_Demand_Curtailment,CO2_tons_per_MMBTU,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,z1,z2,z3
,,,,,,,,301,534248.1385034516,325826.6826073894,116797.30434608851
,,,,,,,,302,561925.0583878016,352081.23118656705,152657.7807143547
,,,,,,,,303,560497.031698517,293777.55404396,153909.88137275557
,,,,,,,,304,678672.4945060061,326066.8147214621,154945.0640773294
,,,,,,,,305,577503.6861003811,275482.089108912,111985.83716706032
,,,,,,,,306,537655.4710625098,237717.3021627837,122270.45774520081
,,,,,,,,307,539188.9045899656,228952.2415813551,145620.03836497906
,,,,,,,,308,601130.8021049006,295911.2415645649,145814.5418140725
,,,,,,,,309,616666.4351626625,403556.82482284703,204343.98765958674
,,,,,,,,310,537567.2207297666,373783.64944400056,174573.39587770405
,,,,,,,,311,613450.9355616882,343459.9544555943,142581.91045263576
,,,,,,,,312,740667.0034612529,379936.23668441287,170690.04373569004
,,,,,,,,313,701793.5633710176,359524.0288470764,157881.7416304174
,,,,,,,,314,679168.7113725126,422409.9529772056,167995.57839408622
,,,,,,,,315,714042.2792628378,453053.1896856961,188279.45696813325
,,,,,,,,316,832873.2313610701,534974.6802000626,169100.3705802066
,,,,,,,,317,817593.1956779987,492633.72554737574,197381.65260081904
,,,,,,,,318,677152.5869351083,370105.45400183205,251462.9183559437
,,,,,,,,319,675155.4355155535,322314.23941564356,210149.13642962088
,,,,,,,,320,704167.1503881845,269155.38922221126,179459.42073196595
,,,,,,,,321,817858.453912215,418547.17277414235,178151.98452979352
,,,,,,,,322,687156.0559841513,414591.807495903,173176.28064834772
,,,,,,,,323,723838.2088393343,336185.09341380885,221177.68935438019
,,,,,,,,324,729181.5527605461,386117.0504212032,220130.40581405876
,,,,,,,,325,933440.0844597907,504178.129271494,202397.71119268425
,,,,,,,,326,967533.8202232447,454249.4361155715,200022.37373381818
,,,,,,,,327,1.0119624848040611e6,452430.4280089848,208726.93856413942
,,,,,,,,328,865102.875603366,400500.6031769361,183394.48357542817
,,,,,,,,329,922021.0527520898,291021.6893489999,176850.11838757983
,,,,,,,,330,1.1053143307377126e6,300699.2814212472,201897.07511394692
,,,,,,,,331,1.0551801866191092e6,375429.6393017058,162071.85798122414
,,,,,,,,332,952681.3684802029,299258.19865745906,180036.38426724283
,,,,,,,,333,841347.3212212848,403002.6273856676,173071.8408807048
,,,,,,,,334,806987.4627890227,338369.8305537727,217604.0811449518
,,,,,,,,335,816465.7960675253,351021.0402392569,233945.9297914885
,,,,,,,,336,1.0814059569971196e6,449736.0291520345,181223.06531465
,,,,,,,,337,1.2592383016027624e6,553210.7227336547,229381.9400403828
,,,,,,,,338,1.0708652463454846e6,547817.775065948,220846.7752256838
,,,,,,,,339,1.0943489819620645e6,500269.4031877729,204772.02922037512
,,,,,,,,340,1.216266641818571e6,519450.7947832349,201383.2575238616
,,,,,,,,341,1.139003314253763e6,551366.1117560981,222194.1367160253
,,,,,,,,342,1.0480569075595584e6,594601.7357761841,218102.58134739572
,,,,,,,,343,1.0471926199289782e6,627562.6635691853,218112.51882623893
,,,,,,,,344,1.0669162031966634e6,607464.0847194821,221621.33189912303
,,,,,,,,345,955434.2145695366,564006.5873663683,224578.67758744
,,,,,,,,346,1.0417077106586766e6,580361.8876869536,248294.984056829
,,,,,,,,347,1.0723449542205343e6,613396.5390644742,266123.203844355
,,,,,,,,348,1.261000425084472e6,632642.3708324298,272958.74492745404
,,,,,,,,349,1.2147532494844997e6,642462.0061186665,293440.8108514191
,,,,,,,,350,1.0337283175031721e6,533788.3724379775,250729.73569964967
,,,,,,,,351,955549.7029510575,528895.9506745643,240120.19997474377
,,,,,,,,352,1.130581364062042e6,486017.9285695803,282854.82466729236
,,,,,,,,353,1.080477124047081e6,543971.2859112774,334021.45392721804
,,,,,,,,354,1.158565120784426e6,669765.1733342858,295581.4412829033
,,,,,,,,355,1.2605763161770545e6,676326.0923970973,272890.6387078498
,,,,,,,,356,1.0305231042839356e6,649951.3830047601,270117.11742945353
,,,,,,,,357,910031.3214980797,555235.805722316,252439.25602230965
,,,,,,,,358,875135.8475827031,470088.9209701211,248354.1402916328
,,,,,,,,359,1.0551945072987354e6,587118.2819447448,247376.2354589998
,,,,,,,,360,1.2109343446120345e6,613280.5220277151,317563.19393290457
,,,,,,,,361,1.1137175592350215e6,596694.2505882245,297334.20860990224
,,,,,,,,362,1.0553014967375684e6,595463.5690036132,272450.4617295721
,,,,,,,,363,940093.012741242,499430.5434046225,310172.2620715175
,,,,,,,,364,1.0283823835416071e6,583081.3592983207,289267.28910297377
,,,,,,,,365,1.2413183269651453e6,805150.8209139558,277479.7701231316
