VOLL,Demand_Segment,Cost_of_Demand_Curtailment_per_MMBTU,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,tons_CO2_per_MMBTU,Time_Index,z1,z2,z3
,,,,,,,,317,1.11E+06,492371.6654,197381.6526
,,,,,,,,318,933199.0135,369843.3938,251462.9184
,,,,,,,,319,932765.9896,322052.1793,210149.1364
,,,,,,,,320,993733.1407,268893.3291,179459.4207
,,,,,,,,321,1.13E+06,418285.1126,178151.9845
,,,,,,,,322,1.00E+06,414329.7473,173176.2806
,,,,,,,,323,1.03E+06,335923.0333,221177.6894
,,,,,,,,324,1.02E+06,385854.9903,220130.4058
,,,,,,,,325,1.25E+06,503916.0691,202397.7112
,,,,,,,,326,1.28E+06,453987.376,200022.3737
,,,,,,,,327,1.37E+06,452168.3679,208726.9386
,,,,,,,,328,1.21E+06,400238.543,183394.4836
,,,,,,,,329,1.28E+06,290759.6292,176850.1184
,,,,,,,,330,1.49E+06,300437.2213,201897.0751
,,,,,,,,331,1.45E+06,375167.5791,162071.858
,,,,,,,,332,1.32E+06,298996.1385,180036.3843
,,,,,,,,333,1.18E+06,402740.5672,173071.8409
,,,,,,,,334,1.11E+06,338107.7704,217604.0811
,,,,,,,,335,1.15E+06,350767.4336,233945.9298
,,,,,,,,336,1.40E+06,449482.4225,181223.0653
,,,,,,,,337,1.59E+06,552957.1161,229381.94
,,,,,,,,338,1.38E+06,547564.1685,220846.7752
,,,,,,,,339,1.36E+06,500015.7966,204772.0292
,,,,,,,,340,1.47E+06,519197.1882,201383.2575
,,,,,,,,341,1.43E+06,551112.5052,222194.1367
,,,,,,,,342,1.39E+06,594348.1292,218102.5813
,,,,,,,,343,1.41E+06,627309.057,218112.5188
,,,,,,,,344,1.43E+06,607210.4781,221621.3319
,,,,,,,,345,1.32E+06,563752.9808,224578.6776
,,,,,,,,346,1.41E+06,580108.2811,248294.9841
,,,,,,,,347,1.42E+06,613142.9325,266123.2038
,,,,,,,,348,1.62E+06,632388.7642,272958.7449
,,,,,,,,349,1.62E+06,642208.3995,293440.8109
,,,,,,,,350,1.40E+06,533534.7658,250729.7357
,,,,,,,,351,1.34E+06,528642.3441,240120.2
,,,,,,,,352,1.54E+06,485764.322,282854.8247
,,,,,,,,353,1.50E+06,543717.6793,334021.4539
,,,,,,,,354,1.57E+06,669511.5667,295581.4413
,,,,,,,,355,1.65E+06,676072.4858,272890.6387
,,,,,,,,356,1.50E+06,649697.7764,270117.1174
,,,,,,,,357,1.33E+06,554982.1991,252439.256
,,,,,,,,358,1.29E+06,469835.3144,248354.1403
,,,,,,,,359,1.51E+06,586864.6753,247376.2355
,,,,,,,,360,1.66E+06,613026.9154,317563.1939
,,,,,,,,361,1.56E+06,596440.644,297334.2086
,,,,,,,,362,1.54E+06,595209.9624,272450.4617
,,,,,,,,363,1.41E+06,499176.9368,310172.2621
,,,,,,,,364,1.42E+06,582827.7527,289267.2891
,,,,,,,,365,1.69E+06,804897.2143,277479.7701
